t, x, xd, y, yd
0.000000000000000000e+00,1.199999999999999956e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.798499999999999543e-01
3.089999999999999691e-02,1.199473180232267566e+00,-3.407532158965010521e-02,-2.099371779110848629e-02,-6.785259170425009811e-01
6.179999999999999383e-02,1.197896968070813584e+00,-6.787710938869727373e-02,-4.190587913284549160e-02,-6.745799612429861369e-01
9.269999999999999074e-02,1.195283856830513525e+00,-1.011476531453608385e-01,-6.265652139582986169e-02,-6.680880180042987337e-01
1.235999999999999877e-01,1.191653883924538526e+00,-1.336582276905645961e-01,-8.316869197490055210e-02,-6.591672924944784739e-01
1.544999999999999707e-01,1.187033588710233234e+00,-1.652177299929757925e-01,-1.033695502060809068e-01,-6.479646123828028959e-01
1.853999999999999815e-01,1.181454783063003999e+00,-1.956761658334740805e-01,-1.231910849591355966e-01,-6.346436377476705193e-01
2.162999999999999923e-01,1.174953287939151547e+00,-2.249235343819289967e-01,-1.425704478077323700e-01,-6.193730669577991454e-01
2.471999999999999753e-01,1.167567759363933311e+00,-2.528854046415178747e-01,-1.614499559325711653e-01,-6.023172124799233140e-01
2.780999999999999583e-01,1.159338682665184139e+00,-2.795166945621999077e-01,-1.797768484166730185e-01,-5.836294905453762727e-01
3.089999999999999414e-01,1.150307569259746865e+00,-3.047949717499819910e-01,-1.975028854140242485e-01,-5.634486989094295017e-01
3.398999999999999799e-01,1.140516355362915624e+00,-3.287142016636789288e-01,-2.145838689691232926e-01,-5.418975632693359135e-01
3.707999999999999630e-01,1.130006979893896979e+00,-3.512794553318083768e-01,-2.309791455457136933e-01,-5.190828971476546538e-01
4.016999999999999460e-01,1.118821108424513433e+00,-3.725027576614219349e-01,-2.466511303525099064e-01,-4.950967590917150218e-01
4.325999999999999845e-01,1.106999968056134209e+00,-3.924000412842101326e-01,-2.615648763189952208e-01,-4.700181157111305574e-01
4.634999999999999676e-01,1.094584261175051365e+00,-4.109890574750449943e-01,-2.756876976322494288e-01,-4.439146638396437861e-01
4.943999999999999506e-01,1.081614131389897704e+00,-4.282880557485320705e-01,-2.889888490850681668e-01,-4.168445935516471579e-01
5.252999999999999892e-01,1.068129160793368948e+00,-4.443150478251853275e-01,-3.014392573417579713e-01,-3.888581720104111739e-01
5.561999999999999167e-01,1.054168383023543543e+00,-4.590874972428937717e-01,-3.130112976357671273e-01,-3.599990956182257951e-01
5.870999999999999552e-01,1.039770301005878750e+00,-4.726223085224380838e-01,-3.236786084977089084e-01,-3.303056000845017159e-01
6.179999999999998828e-01,1.024972901654104929e+00,-4.849360215553337738e-01,-3.334159371962691076e-01,-2.998113417042487239e-01
6.488999999999999213e-01,1.009813662287065927e+00,-4.960451442322720839e-01,-3.421990091859760108e-01,-2.685460745275273231e-01
6.797999999999999599e-01,9.943295452350479069e-01,-5.059665782999469563e-01,-3.500044156924916883e-01,-2.365361519551291702e-01
7.106999999999998874e-01,9.785569782265951533e-01,-5.147181103522499024e-01,-3.568095144498961147e-01,-2.038048809382383142e-01
7.415999999999999259e-01,9.625318188087496063e-01,-5.223189525902147690e-01,-3.625923394411653122e-01,-1.703727545510149710e-01
7.724999999999999645e-01,9.462893013743363113e-01,-5.287903275043377427e-01,-3.673315162415334845e-01,-1.362575855691531557e-01
8.033999999999998920e-01,9.298639654341921412e-01,-5.341560978503628876e-01,-3.710061802152034849e-01,-1.014745605927402927e-01
8.342999999999999305e-01,9.132895636389968264e-01,-5.384434489710093752e-01,-3.735958953774233815e-01,-6.603623162253088874e-02
8.651999999999999691e-01,8.965989477621757464e-01,-5.416836352792135933e-01,-3.750805722245606488e-01,-2.995246006393734867e-02
8.960999999999998966e-01,8.798239304227069013e-01,-5.439128070533896242e-01,-3.754403832781373906e-01,6.769672974192619819e-03
9.269999999999999352e-01,8.629951197615646219e-01,-5.451729379921418372e-01,-3.746556755120262761e-01,4.412597639513744785e-02
9.578999999999998627e-01,8.461417235841046658e-01,-5.455128785505538591e-01,-3.727068792656651475e-01,8.211526427955062601e-02
